NAMESPACE           NAME                                                         TYPE        CLUSTER-IP      EXTERNAL-IP   PORT(S)                        AGE
default             service/kubernetes                                           ClusterIP   10.96.0.1       <none>        443/TCP                        55m
devops-assignment   service/api                                                  ClusterIP   10.96.197.129   <none>        8000/TCP                       45m
devops-assignment   service/frontend                                             ClusterIP   10.96.30.172    <none>        8080/TCP                       45m
devops-assignment   service/postgres                                             ClusterIP   10.96.129.10    <none>        5432/TCP                       45m
ingress-nginx       service/ingress-nginx-controller                             ClusterIP   10.96.121.245   <none>        80/TCP,443/TCP                 54m
ingress-nginx       service/ingress-nginx-controller-admission                   ClusterIP   10.96.56.84     <none>        443/TCP                        54m
jenkins             service/jenkins                                              ClusterIP   10.96.81.68     <none>        8080/TCP                       32m
jenkins             service/jenkins-agent                                        ClusterIP   10.96.229.227   <none>        50000/TCP                      32m
kube-system         service/kube-dns                                             ClusterIP   10.96.0.10      <none>        53/UDP,53/TCP,9153/TCP         55m
kube-system         service/prometheus-stack-kube-prom-coredns                   ClusterIP   None            <none>        9153/TCP                       53m
kube-system         service/prometheus-stack-kube-prom-kube-controller-manager   ClusterIP   None            <none>        10257/TCP                      53m
kube-system         service/prometheus-stack-kube-prom-kube-etcd                 ClusterIP   None            <none>        2381/TCP                       53m
kube-system         service/prometheus-stack-kube-prom-kube-proxy                ClusterIP   None            <none>        10249/TCP                      53m
kube-system         service/prometheus-stack-kube-prom-kube-scheduler            ClusterIP   None            <none>        10259/TCP                      53m
kube-system         service/prometheus-stack-kube-prom-kubelet                   ClusterIP   None            <none>        10250/TCP,4194/TCP,10255/TCP   53m
monitoring          service/alertmanager-operated                                ClusterIP   None            <none>        9093/TCP,9094/TCP,9094/UDP     53m
monitoring          service/loki                                                 ClusterIP   10.96.26.88     <none>        3100/TCP,9095/TCP              50m
monitoring          service/loki-canary                                          ClusterIP   10.96.239.207   <none>        3500/TCP                       50m
monitoring          service/loki-headless                                        ClusterIP   None            <none>        3100/TCP                       50m
monitoring          service/loki-memberlist                                      ClusterIP   None            <none>        7946/TCP                       50m
monitoring          service/prometheus-operated                                  ClusterIP   None            <none>        9090/TCP                       53m
monitoring          service/prometheus-stack-grafana                             ClusterIP   10.96.181.90    <none>        80/TCP                         53m
monitoring          service/prometheus-stack-kube-prom-alertmanager              ClusterIP   10.96.117.73    <none>        9093/TCP,8080/TCP              53m
monitoring          service/prometheus-stack-kube-prom-operator                  ClusterIP   10.96.126.104   <none>        443/TCP                        53m
monitoring          service/prometheus-stack-kube-prom-prometheus                ClusterIP   10.96.54.201    <none>        9090/TCP,8080/TCP              53m
monitoring          service/prometheus-stack-kube-state-metrics                  ClusterIP   10.96.211.76    <none>        8080/TCP                       53m
monitoring          service/prometheus-stack-prometheus-node-exporter            ClusterIP   10.96.144.139   <none>        9100/TCP                       53m

NAMESPACE           NAME                                 CLASS   HOSTS                     ADDRESS         PORTS   AGE
devops-assignment   ingress.networking.k8s.io/frontend   nginx   devops-assignment.local   10.96.121.245   80      45m
jenkins             ingress.networking.k8s.io/jenkins    nginx   jenkins.local             10.96.121.245   80      32m
